edgeID,ID1,ID2
1,3000,3001
2,3001,3002
3,3001,3004
4,3002,3003
5,3004,3005
6,3001,3006
7,3006,3007
8,3007,3008
9,3006,3009
10,3009,3010
11,3010,3011
12,3009,3012
13,3012,3013
14,3012,3068
15,3013,3014
16,3014,3015
17,3013,3016
18,3016,3017
19,3017,3018
20,3016,3019
21,3019,3020
22,3016,3021
23,3021,3022
24,3022,3023
25,3021,3024
26,3024,3025
27,3025,3026
28,3024,3027
29,3027,3028
30,3028,3029
31,3027,3030
32,3030,3031
33,3031,3032
34,3030,3033
35,3033,3034
36,3034,3035
37,3033,3036
38,3036,3037
39,3037,3038
40,3036,3039
41,3039,3040
42,3040,3041
43,3039,3042
44,3042,3043
45,3043,3044
46,3044,3045
47,3042,3046
48,3046,3047
49,3047,3048
50,3046,3049
51,3049,3050
52,3050,3051
53,3049,3052
54,3052,3053
55,3053,3056
56,3056,3059
57,3068,3069
58,3069,3070
59,3068,3063
60,3063,3064
61,3064,3065
62,3063,3066
63,3066,3067
64,3063,3060
65,3060,3061
66,3061,3062
67,3060,3052
68,3053,3071
69,3071,3054
70,3053,3072
71,3072,3055
72,3056,3073
73,3073,3057
74,3056,3074
75,3074,3058
