EDGE ID,ID1,ID2
1,3000,3003
2,3000,3001
3,3001,3002
4,3003,3004
5,3004,3005
6,3003,3008
7,3008,3009
8,3009,3010
9,3008,3011
10,3011,3014
11,3014,3015
12,3015,3016
13,3014,3017
14,3017,3020
15,3020,3021
16,3017,3022
17,3022,3023
18,3023,3024
19,3024,3025
20,3023,3026
21,3003,3006
22,3006,3007
23,3011,3012
24,3012,3013
25,3017,3018
26,3018,3019
27,3000,3027
28,3027,3030
29,3027,3028
30,3030,3031
31,3028,3029
32,3027,3032
33,3032,3035
34,3032,3033
35,3035,3036
36,3033,3034
37,3032,3037
38,3037,3038
39,3038,3039
40,3039,3040
41,3038,3041
42,3041,3042
43,3038,3043
44,3043,3044
45,3044,3045
46,3043,3046
47,3046,3047
48,3047,3042
49,3046,3048
50,3048,3049
51,3049,3050
52,3048,3051
53,3051,3052
54,3052,3053
55,3051,3054
56,3054,3055
57,3055,3056
58,3054,3057
59,3057,3058
60,3058,3059
61,3057,3060
62,3060,3061
63,3061,3056
64,3060,3062
65,3062,3063
66,3063,3064
67,3062,3065
68,3065,3066
69,3066,3067
70,3065,3068
71,3068,3069
72,3069,3070
73,3068,3071
74,3071,3072
75,3072,3073
76,3071,3074
77,3074,3075
78,3075,3076
79,3074,3077
80,3077,3078
81,3078,3079
82,3077,3080
83,3080,3081
84,3081,3082
85,3080,3083
86,3083,3084
87,3084,3085
88,3083,3086
89,3086,3087
90,3087,3088
91,3086,3089
92,3089,3090
93,3090,3091
94,3089,3092
95,3086,3093
96,3093,3094
97,3094,3095
98,3093,3096
99,3096,3097
100,3097,3098
101,3096,3099
102,3099,3100
103,3100,3101
104,3099,3102
105,3102,3103
106,3103,3104
107,3102,3105
108,3105,3106
109,3106,3107
110,3105,3108
111,3108,3109
112,3109,3110
113,3108,3062
114,3099,3111
115,3111,3112
116,3112,3113
117,3111,3114
118,3114,3056
119,3111,3115
120,3115,3116
121,3116,3056
122,3115,3120
123,3120,3121
124,3121,3122
125,3120,3117
126,3117,3118
127,3118,3119
128,3117,3123
129,3123,3124
130,3124,3125
131,3117,3126
132,3126,3127
133,3127,3128
134,3126,3129
135,3129,3130
136,3130,3131
137,3129,3132
138,3129,3133
139,3133,3134
140,3134,3135
141,3133,3136
142,3136,3137
143,3137,3138
144,3138,3042
145,3137,3139
146,3139,3140
147,3137,3141
148,3141,3142
149,3142,3143
150,3141,3037
151,3136,3144
152,3144,3145
153,3145,3146
154,3144,3147
155,3147,3148
156,3148,3149
157,3147,3022
